Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2000-11-10,154.08,154.08,154.08,154.08,60.0,1.82,"14,432.0",137.34543662468803,129.49122199001607,,,,,,,100.0,7.451701775663935,5.371084072756518
2000-11-13,156.84,156.84,156.84,156.84,20.0,1.79,"14,437.0",139.20206170805108,130.5637230884468,,,,,,,100.0,8.060184705696742,5.908904199344563
2000-11-15,159.6,159.6,159.6,159.6,10.0,1.76,"14,452.0",141.14472249776048,131.70240061439006,137.79149999999998,,137.79149999999998,162.04664228711968,113.53635771288029,0.3520557115224045,100.0,8.665233329446721,6.460170025364995
2000-11-17,162.36,162.36,162.36,162.36,40.0,1.73,"14,459.0",143.16522511702138,132.90465941382575,139.8635,,139.8635,165.10999701600102,114.61700298399896,0.36101623391379495,100.0,9.260696116379648,7.020275243567926
2000-11-20,165.7,165.7,165.7,165.7,60.0,2.06,"14,467.0",145.31139415349554,134.19075120151885,142.0915,,142.0915,168.22982538025747,115.95317461974253,0.36790836017998924,100.0,9.888130537864072,7.593846302427155
2000-11-22,165.52,165.52,165.52,165.52,140.0,-0.11,"14,474.0",147.23602328173408,135.41934919361617,144.257,,144.257,170.63518085583536,117.87881914416465,0.36571093057301,99.41634241245143,10.25266599016254,8.125610239974232
2000-11-24,166.17,166.17,166.17,166.17,120.0,0.39,"14,474.0",149.03925915966414,136.6252570683763,146.349,,146.349,172.70947671480127,119.98852328519872,0.36024129600887295,99.39959973315551,10.47328304264525,8.595144800508436
2000-11-27,165.6,165.6,165.6,165.6,90.0,-0.34,"14,485.0",150.61647257302945,137.76152149706743,148.30649999999997,,148.30649999999997,174.2564504309434,122.35654956905654,0.34995027771464415,97.50166555629589,10.481307422309499,8.97237732486865
2000-11-29,168.73,168.73,168.73,168.73,80.0,1.89,"14,491.0",152.34157042321712,138.97597163443734,150.3145,,150.3145,176.04835357850627,124.58064642149375,0.34240014873490254,97.55381604696682,10.61783584031076,9.301469027957072
2000-12-01,171.87,171.87,171.87,171.87,40.0,1.86,"14,496.0",154.20142085910123,140.26593353112608,152.3725,,152.3725,178.08833241588934,126.65666758411066,0.3375390233262477,97.69443590531826,10.854285901818173,9.612032402729293
