Date,Close,Open,High,Low,Vol,% Change
2000-09-29,"14,212.0","14,212.0","14,212.0","14,212.0",,0.04%
2000-10-02,"14,218.0","14,218.0","14,218.0","14,218.0",,0.04%
2000-10-03,"14,232.0","14,232.0","14,232.0","14,232.0",,0.10%
2000-10-04,"14,240.0","14,240.0","14,240.0","14,240.0",,0.06%
2000-10-05,"14,248.0","14,248.0","14,248.0","14,248.0",,0.06%
2000-10-06,"14,248.0","14,248.0","14,248.0","14,248.0",,0.00%
2000-10-09,"14,261.0","14,261.0","14,261.0","14,261.0",,0.09%
2000-10-10,"14,248.0","14,248.0","14,248.0","14,248.0",,-0.09%
2000-10-11,"14,248.0","14,248.0","14,248.0","14,248.0",,0.00%
2000-10-12,"14,248.0","14,248.0","14,248.0","14,248.0",,0.00%
2000-10-13,"14,248.0","14,248.0","14,248.0","14,248.0",,0.00%
2000-10-16,"14,310.0","14,310.0","14,310.0","14,310.0",,0.44%
2000-10-17,"14,310.0","14,310.0","14,310.0","14,310.0",,0.00%
2000-10-18,"14,325.0","14,325.0","14,325.0","14,325.0",,0.10%
2000-10-19,"14,325.0","14,325.0","14,325.0","14,325.0",,0.00%
2000-10-20,"14,335.0","14,335.0","14,335.0","14,335.0",,0.07%
2000-10-23,"14,335.0","14,335.0","14,335.0","14,335.0",,0.00%
2000-10-24,"14,340.0","14,340.0","14,340.0","14,340.0",,0.03%
2000-10-25,"14,340.0","14,340.0","14,340.0","14,340.0",,0.00%
2000-10-26,"14,350.0","14,350.0","14,350.0","14,350.0",,0.07%
2000-10-27,"14,360.0","14,360.0","14,360.0","14,360.0",,0.07%
2000-10-30,"14,370.0","14,370.0","14,370.0","14,370.0",,0.07%
2000-10-31,"14,375.0","14,375.0","14,375.0","14,375.0",,0.03%
2000-11-01,"14,375.0","14,375.0","14,375.0","14,375.0",,0.00%
2000-11-02,"14,398.0","14,398.0","14,398.0","14,398.0",,0.16%
2000-11-03,"14,398.0","14,398.0","14,398.0","14,398.0",,0.00%
2000-11-06,"14,405.0","14,405.0","14,405.0","14,405.0",,0.05%
2000-11-07,"14,410.0","14,410.0","14,410.0","14,410.0",,0.03%
2000-11-08,"14,422.0","14,422.0","14,422.0","14,422.0",,0.08%
2000-11-09,"14,432.0","14,432.0","14,432.0","14,432.0",,0.07%
2000-11-10,"14,432.0","14,432.0","14,432.0","14,432.0",,0.00%
